_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp,chars,errors,extra,missed
68abfb36895ff374fce44cbd,False,47.79,90.64,47.79,63.45,239;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-25 05:57:10,239,0,0,0
68aa9cd3895ff374fcdb0db5,False,36.79,84.3,37.39,60.69,184;2;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-24 05:02:11,184,2,0,0
68aa9c76895ff374fcdb0b9f,False,45.39,92.37,45.39,60.47,227;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-24 05:00:38,227,0,0,0
68aa9c33895ff374fcdb0a23,False,38.19,88.5,38.59,51.29,191;2;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-24 04:59:31,191,2,0,0
68aa7e7b895ff374fcda63c9,False,41.19,88.94,41.19,57.49,206;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-24 02:52:43,206,0,0,0
68a1e6dd9b82a8cb33884445,False,40.59,88.21,44.19,58.8,203;6;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-17 14:27:41,203,6,0,0
689b84fb4cec7cefb62f87d3,False,35.39,89.11,35.79,60.55,177;1;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-08-12 18:16:27,177,1,0,0
689b84b74cec7cefb62f85ae,False,39.59,90.05,39.59,57.54,198;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-12 18:15:19,198,0,0,0
689b84744cec7cefb62f8376,False,45.4,93.17,45.4,59.51,227;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-08-12 18:14:12,227,0,0,0
6890d8c220ac094ae82dd50c,False,38.8,95.61,38.8,54.0,194;0;0;0,time,60,-1,0,60.01,2,0.0,False,False,english,,normal,False,False,False,,2025-08-04 15:58:58,194,0,0,0
6888574ddebff78a431a81ec,False,40.4,88.56,41.4,56.28,202;1;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-07-29 05:08:29,202,1,0,0
6888570bdebff78a431a7f83,False,43.39,91.43,43.39,57.78,217;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-29 05:07:23,217,0,0,0
688780a3debff78a4312e8dc,False,48.39,94.92,48.39,68.02,242;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-28 13:52:35,242,0,0,0
688650a3debff78a43089a64,True,53.59,95.73,53.59,72.85,268;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-27 16:15:31,268,0,0,0
68751f457718545366f830cb,False,46.59,94.05,46.59,59.06,233;0;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-07-14 15:16:21,233,0,0,0
6873d9017718545366ecf6d5,False,46.39,94.72,46.39,64.47,232;0;0;0,time,60,-1,0,60.01,1,0.0,False,False,english,,normal,False,False,False,,2025-07-13 16:04:17,232,0,0,0
6872bc7b7718545366e4982d,False,41.59,90.99,41.59,54.93,208;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-12 19:50:19,208,0,0,0
686e02e27718545366baad7f,False,40.2,87.5,40.2,51.82,201;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-07-09 05:49:22,201,0,0,0
686e01ff7718545366baa5a9,False,50.4,94.05,50.4,60.86,252;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-07-09 05:45:35,252,0,0,0
686c01e77718545366a96a61,False,47.0,91.92,47.0,59.69,235;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-07-07 17:20:39,235,0,0,0
686bd38f7718545366a732cd,False,40.79,93.72,40.79,52.93,204;0;0;0,time,60,-1,0,60.01,2,0.0,False,False,english,,normal,False,False,False,,2025-07-07 14:02:55,204,0,0,0
686bd3457718545366a72f2f,False,40.59,88.46,40.59,60.38,203;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-07 14:01:41,203,0,0,0
686a7f3e77185453669c00f1,False,44.79,92.24,44.79,65.87,224;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-06 13:50:54,224,0,0,0
686a15ca7718545366988dee,False,36.0,83.87,36.0,48.87,180;0;0;0,time,60,-1,0,60.0,2,0.0,False,False,english,,normal,False,False,False,,2025-07-06 06:20:58,180,0,0,0
686915177718545366918be1,False,43.4,89.75,43.4,59.9,217;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-05 12:05:43,217,0,0,0
6866bb6d77185453667f47ee,False,47.39,92.64,47.39,63.41,237;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-03 17:18:37,237,0,0,0
6863c5b1bd9e74d861199286,False,44.79,91.06,44.79,66.77,224;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-07-01 11:25:37,224,0,0,0
6863c56ebd9e74d861198fce,False,38.6,86.03,39.4,41.25,193;2;0;0,time,60,-1,0,60.01,5,0.0,False,False,english,,normal,False,False,False,,2025-07-01 11:24:30,193,2,0,0
6861754a7bfbbdfc152604ae,False,47.58,94.88,47.58,58.58,238;0;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-06-29 17:18:02,238,0,0,0
685ffe807bfbbdfc151aeeff,False,43.79,92.08,43.79,59.2,219;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-28 14:38:56,219,0,0,0
685be01f0af9eada721e69ee,True,49.45,94.89,49.45,67.74,259;0;0;0,words,50,-1,0,62.85,0,0.0,False,False,english,,normal,False,False,False,,2025-06-25 11:40:15,259,0,0,0
6856d6290af9eada72f2c0e0,False,42.0,90.53,42.0,55.67,254;0;0;0,words,50,-1,0,72.57,0,0.0,False,False,english,,normal,False,False,False,,2025-06-21 15:56:25,254,0,0,0
68558c5e0af9eada72e8b513,True,43.21,90.55,43.21,58.71,275;0;0;0,words,50,-1,0,76.37,0,0.0,False,False,english,,normal,False,False,False,,2025-06-20 16:29:18,275,0,0,0
68558be50af9eada72e8af92,False,28.77,84.81,28.77,34.15,200;0;0;0,quote,366,1,0,83.42,1,0.0,False,False,english,,normal,False,False,False,,2025-06-20 16:27:17,200,0,0,0
68558b6d0af9eada72e8aa3b,True,50.7,91.67,50.7,56.64,219;0;0;0,custom,custom,-1,0,51.84,0,0.0,False,False,english,,normal,False,False,False,,2025-06-20 16:25:17,219,0,0,0
68558b100af9eada72e8a639,False,49.99,95.82,49.99,61.6,250;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-20 16:23:44,250,0,0,0
685425b30af9eada72dbc59d,False,46.4,93.57,46.4,57.42,232;0;0;0,time,60,-1,0,60.0,1,0.0,False,False,english,,normal,False,False,False,,2025-06-19 14:58:59,232,0,0,0
6852db5a0af9eada72cfe55f,False,46.0,93.15,46.0,62.16,230;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-06-18 15:29:30,230,0,0,0
685162d60af9eada72c17f31,True,26.73,85.69,27.3,19.93,516;4;0;0,custom,custom,-1,0,231.67,40,0.0,False,False,english,,normal,False,False,False,,2025-06-17 12:43:02,516,4,0,0
685160d40af9eada72c165ef,False,41.19,87.39,41.19,53.81,103;0;0;0,time,30,-1,0,30.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-17 12:34:28,103,0,0,0
