_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67373de5cb87917df2727226,,36.7,95.88,36.7,56.9,367;0;0;0,time,120,-1,0,120,1,0,false,false,english,,normal,false,false,false,,1731673573000
6736f2dccb87917df26f2b3a,,33.9,93.07,34.5,53.59,339;1;0;0,time,120,-1,1,120.01,1,26.72,false,false,english,,normal,false,false,false,,1731654364000
6736f040cb87917df26f0fe5,true,37,93.23,37,60.21,370;0;0;0,time,120,-1,0,120.01,0,0,false,false,english,,normal,false,false,false,,1731653696000
6736a800cb87917df26c48d8,,32.7,93.54,32.7,52.42,327;0;0;0,time,120,-1,0,120.01,2,0,false,false,english,,normal,false,false,false,,1731635200000
67304ee4cb87917df21ecea1,,35.1,92.67,35.1,58.87,351;0;0;0,time,120,-1,0,120,0,0,false,false,english,,normal,false,false,false,,1731219172000
67304e2bcb87917df21ec824,,34,92.08,34,55.46,340;0;0;0,time,120,-1,0,120.01,0,0,false,false,english,,normal,false,false,false,,1731218987000
67304da1cb87917df21ec3ae,,34.7,92.61,35.1,54.9,347;2;0;0,time,120,-1,0,120.01,1,0,false,false,english,,normal,false,false,false,,1731218849000
672df8b3cb87917df206be79,,31,93.84,31,48.14,310;0;0;0,time,120,-1,0,120,4,0,false,false,english,,normal,false,false,false,,1731066035000
672df835cb87917df206b8dd,,31.5,89.2,31.9,52.58,315;1;0;0,time,120,-1,0,120,1,0,false,false,english,,normal,false,false,false,,1731065909000
672df752cb87917df206af3e,,33,90.81,33,58.25,330;0;0;0,time,120,-1,0,120.01,0,0,false,false,english,,normal,false,false,false,,1731065682000
672df6d2cb87917df206a9cb,,35.1,90.68,36.2,56.97,351;2;0;0,time,120,-1,0,120.01,0,0,false,false,english,,normal,false,false,false,,1731065554000
672df626cb87917df206a249,,36.4,93.55,37.8,64.61,364;3;0;0,time,120,-1,0,120.02,0,0,false,false,english,,normal,false,false,false,,1731065382000
672df5a4cb87917df2069cce,,34.5,93.28,34.5,51.1,345;0;0;0,time,120,-1,0,120.01,9,0,false,false,english,,normal,false,false,false,,1731065252000
672ce084cb87917df2f9c130,,28.5,90.43,28.5,52.36,285;0;0;0,time,120,-1,0,120,1,0,false,false,english,,normal,false,false,false,,1730994308000
672ce004cb87917df2f9b7e4,,30.1,91.64,30.1,48.86,301;0;0;0,time,120,-1,0,120,5,0,false,false,english,,normal,false,false,false,,1730994180000
672cdf83cb87917df2f9aed3,,29.99,90.48,29.99,35.18,75;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1730994051000
672cb2d4cb87917df2f6b6a7,,36.4,94.79,36.4,54.84,91;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1730982612000
672cb2b1cb87917df2f6b4d5,,34.79,90.1,36.79,59.82,87;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1730982577000
672cb281cb87917df2f6b29d,,41.58,94.55,41.58,59.37,52;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1730982529000
672a0ca1cb87917df2d64929,,25.58,81.82,31.98,45.27,32;2;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1730808993000
672a0c77cb87917df2d64736,,34.39,89.58,34.39,45.24,43;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1730808951000
672a0c63cb87917df2d6462d,,20.79,75,39.98,68.64,26;7;2;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1730808931000
672a0c4ecb87917df2d64507,,36.8,90.2,36.8,51.11,46;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730808910000
672a0c39cb87917df2d64426,,37.59,94.23,37.59,51.96,47;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730808889000
672a0c1ecb87917df2d642c5,,35.99,88.24,35.99,51.11,45;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1730808862000
672a0c09cb87917df2d641be,,37.59,94.12,37.59,57.35,47;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730808841000
672a0beccb87917df2d64057,,37.6,92.16,37.6,60.13,47;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730808812000
67277ab850538de2c2a9a1e4,,23.18,76.6,33.57,50.84,29;3;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1730640568000
67277aa050538de2c2a9a0c4,,43.2,96.49,43.2,70.86,54;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730640544000
67277a8950538de2c2a99fae,,27.97,87.76,37.57,65.62,35;2;0;1,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1730640521000
67277a7550538de2c2a99ebe,,28.79,78.85,39.19,59.41,36;4;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730640501000
67277a6050538de2c2a99da3,,33.6,86.54,38.4,51.96,42;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730640480000
67277a4b50538de2c2a99cb2,,27.19,80.39,39.18,57.35,34;6;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1730640459000
67277a3050538de2c2a99b51,,41.99,94.59,41.99,69.47,105;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1730640432000
67277a0650538de2c2a99917,true,42.39,97.25,42.39,60.78,106;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1730640390000
672779de50538de2c2a9973a,,35.2,93.72,35.2,61.33,176;0;0;0,time,60,-1,0,60.01,1,0,false,false,english,,normal,false,false,false,,1730640350000
6727799950538de2c2a99424,true,40.79,97.17,40.79,68.38,204;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1730640281000
6727793750538de2c2a98fb3,,32.99,91.85,33.99,61.96,165;1;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1730640183000
67264a5a50538de2c29f61d7,,31.8,91.26,32.8,55.48,159;0;1;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1730562650000
67264a1750538de2c29f5eea,,32.4,92.13,32.4,55.68,162;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1730562583000
672649d250538de2c29f5bbc,,36.8,92.93,36.8,59.63,184;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1730562514000
6726498950538de2c29f5888,,35.3,95.29,35.8,61.33,353;1;0;0,time,120,-1,0,120,0,0,false,false,english,,normal,false,false,false,,1730562441000
6724e8dc50538de2c2911c13,,24.5,87.37,26.1,41.49,245;4;0;0,time,120,-1,0,120.01,7,0,false,false,english,,normal,false,false,false,,1730472156000
6724e76750538de2c291040f,,30.7,89.68,30.7,51.66,307;0;0;0,time,120,-1,0,120.01,0,0,false,false,english,,normal,false,false,false,,1730471783000
6724e6e450538de2c290fb17,,32.3,90.4,34.8,50.43,323;5;0;0,time,120,-1,0,120,1,0,false,false,english,,normal,false,false,false,,1730471652000
6724e65650538de2c290f162,,25.7,83.42,37.6,62.33,257;33;1;0,time,120,-1,0,120,1,0,false,false,english,,normal,false,false,false,,1730471510000
